Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Species
mar,2015,MEXICO,Fishing,M,36,N,
mar,2015,FRENCH POLYNESIA,Sitting in the water,M,18,N,Reef shark
feb,2015,OCEAN,Transatlantic Rowing,,,N,White shark
feb,2015,REUNION,Swimming,F,22,Y,Tiger shark
feb,2015,AUSTRALIA,Surfing,M,41,Y,
feb,2015,AUSTRALIA,Surfing,M,35,N,
feb,2015,AUSTRALIA,Bodysurfing,M,,N,
jan,2015,AUSTRALIA,Rowing,M,57,N,Bull shark
jan,2015,USA,Shark fishing,M,20,N,
jan,2015,AUSTRALIA,Surfing,M,,N,
jan,2015,SOUTH AFRICA,Floating,M,24,N,
jan,2015,USA,Fishing,M,,N,White shark
jan,2015,AUSTRALIA,Surfing & filming dolphins,F,,,
jan,2015,AUSTRALIA,Fishing,M,,N,
jan,2015,AUSTRALIA,Filming,M,17,N,
jan,2015,USA,Swimming after falling overboard,M,38,,No shark
jan,2015,BAHAMAS,Snorkeling,F,34,N,White shark
jan,2015,SOUTH AFRICA,Surfing,M,15,N,Raggedtooth shark
jan,2015,USA,,M,12,N,small shark
dec,2014,AUSTRALIA,Surfing,,,N,
dec,2014,AUSTRALIA,Spearfishing,M,17,Y,White shark
dec,2014,GREECE,,,,N,
dec,2014,SOUTH AFRICA,Swimming,,,,
dec,2014,USA,Surfing,M,50,N,White shark
dec,2014,AUSTRALIA,Fishing,M,40,N,
dec,2014,JAPAN,Diving / Filming,M,,N,Goblin shark
dec,2014,AUSTRALIA,Spearfishing,M,17,Y,Tiger shark
dec,2014,SPAIN,Fishing for blue sharks,M,,N,
nov,2014,AUSTRALIA,Surfing,M,13,N,
nov,2014,MAURITIUS,Fishing,M,39,Y,
nov,2014,AUSTRALIA,Fishing,M,,N,White shark
nov,2014,USA,,,,N,White shark
nov,2014,USA,Surfing,M,44,N,
nov,2014,USA,Snorkeling,M,53,N,
nov,2014,AUSTRALIA,Surfing,M,,N,
nov,2014,USA,Surfing,M,18,N,
oct,2014,USA,Surfing,F,34,N,Tiger shark
oct,2014,AUSTRALIA,Surfing,M,20,N,
oct,2014,USA,Stand-Up Paddleboarding,F,,N,Tiger shark
oct,2014,USA,Stand-Up Paddleboarding,M,,N,
oct,2014,USA,Canoeing,F,,N,
oct,2014,USA,Surfing,M,,N,
oct,2014,AUSTRALIA,Surfing,F,13,N,
oct,2014,USA,Standing in inner tube,F,7,N,Bull shark
oct,2014,USA,Body surfing or Boogie boarding,F,,N,
oct,2014,AUSTRALIA,Kayaking,M,,N,
oct,2014,USA,Surfing,M,29,N,Blacktip shark
oct,2014,USA,Fishing,F,40,N,
oct,2014,USA,Surfing,M,15,N,Blacktip shark
oct,2014,USA,Kayaking,M,,N,White shark
oct,2014,USA,Kayaking ,M,,N,White shark
oct,2014,USA,Surfing,M,28,N,
oct,2014,AUSTRALIA,Surfing,M,23,N,white shark
sep,2014,USA,Surfing,M,,N,
sep,2014,FRENCH POLYNESIA,Feeding fish,F,36,N,Blacktip shark
sep,2014,USA,Surfing,M,,,No shark
sep,2014,AUSTRALIA,Swimming,M,50,Y,
sep,2014,USA,Fishing ,M,43,N,Bull shark
sep,2014,USA,Kayaking ,F,20,N,White shark
sep,2014,USA,Fishing,M,52,N,
,2014,SPAIN,Playing with an air mattress,M,16,N,
aug,2014,USA,Body surfing,F,13,N,Spinner shark
aug,2014,USA,Surfing,M,17,N,Spinner shark
